name,var_name,resp,freq,abs_freq,stop
events i678907209017708,NGRAM_OCCUR_L2_Ad Landing Page,-0.024943728,0.015544041,3,FALSE
bm,NGRAM_OCCUR_L2_Ad Landing Page,-0.045903051,0.025906736,5,FALSE
woke blacks,NGRAM_OCCUR_L2_Ad Landing Page,0.153793022,0.150259067,29,FALSE
blackjourney2justice,NGRAM_OCCUR_L2_Ad Landing Page,0.134013151,0.03626943,7,FALSE
stopallinvaders,NGRAM_OCCUR_L2_Ad Landing Page,-0.108852257,0.082901554,16,FALSE
com williamsandkalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.109688811,0.077720207,15,FALSE
com brownunitedfront,NGRAM_OCCUR_L2_Ad Landing Page,0.633273268,0.538860104,104,FALSE
com blacktivists,NGRAM_OCCUR_L2_Ad Landing Page,0.542182299,0.393782383,76,FALSE
al,NGRAM_OCCUR_L2_Ad Landing Page,-0.064326216,0.077720207,15,FALSE
blackmattersus mvmnt,NGRAM_OCCUR_L2_Ad Landing Page,-0.068975505,0.523316062,101,FALSE
skalvin,NGRAM_OCCUR_L2_Ad Landing Page,-0.05262802,0.046632124,9,FALSE
1.2687E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.119104033,0.124352332,24,FALSE
8.39497E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.072365147,0.165803109,32,FALSE
nefertitis,NGRAM_OCCUR_L2_Ad Landing Page,-0.056066131,0.03626943,7,FALSE
shop rid,NGRAM_OCCUR_L2_Ad Landing Page,-0.042480339,0.015544041,3,FALSE
brownunitedfronu,NGRAM_OCCUR_L2_Ad Landing Page,0.046065127,0.010362694,2,FALSE
community 576081822594619,NGRAM_OCCUR_L2_Ad Landing Page,-0.056184346,0.03626943,7,FALSE
com black,NGRAM_OCCUR_L2_Ad Landing Page,-0.163670685,0.70984456,137,FALSE
https hblackmattersus,NGRAM_OCCUR_L2_Ad Landing Page,-0.107818562,0.18134715,35,FALSE
com william,NGRAM_OCCUR_L2_Ad Landing Page,-0.108647126,0.062176166,12,FALSE
being,NGRAM_OCCUR_L2_Ad Landing Page,-0.05450638,0.07253886,14,TRUE
borders,NGRAM_OCCUR_L2_Ad Landing Page,-0.072880339,0.098445596,19,FALSE
2016,NGRAM_OCCUR_L2_Ad Landing Page,-0.00859334,0.025906736,5,FALSE
black matters,NGRAM_OCCUR_L2_Ad Landing Page,-0.122634852,0.637305699,123,FALSE
facebook comnvilliam,NGRAM_OCCUR_L2_Ad Landing Page,0.084925982,0.077720207,15,FALSE
godblessthesouth,NGRAM_OCCUR_L2_Ad Landing Page,0.065964,0.010362694,2,FALSE
12837154,NGRAM_OCCUR_L2_Ad Landing Page,0.373328349,0.088082902,17,FALSE
being patriotic,NGRAM_OCCUR_L2_Ad Landing Page,-0.054606406,0.07253886,14,TRUE
self,NGRAM_OCCUR_L2_Ad Landing Page,-0.0581604,0.067357513,13,FALSE
the 2nd,NGRAM_OCCUR_L2_Ad Landing Page,0.134907495,0.020725389,4,TRUE
blacktivists,NGRAM_OCCUR_L2_Ad Landing Page,0.570015584,0.393782383,76,FALSE
beyonce,NGRAM_OCCUR_L2_Ad Landing Page,-0.024518771,0.015544041,3,FALSE
1.72523E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.048893566,0.025906736,5,FALSE
blackmattersus,NGRAM_OCCUR_L2_Ad Landing Page,0.050714088,1,193,FALSE
borders 757183957716200,NGRAM_OCCUR_L2_Ad Landing Page,-0.060824129,0.082901554,16,FALSE
liberal 522628564598423,NGRAM_OCCUR_L2_Ad Landing Page,-0.045806766,0.041450777,8,FALSE
com memopolis,NGRAM_OCCUR_L2_Ad Landing Page,-0.083435752,0.409326425,79,FALSE
1.09218E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.006316441,0.010362694,2,FALSE
rid 128371547505950,NGRAM_OCCUR_L2_Ad Landing Page,-0.042487407,0.015544041,3,FALSE
com woke,NGRAM_OCCUR_L2_Ad Landing Page,0.111958755,0.176165803,34,FALSE
lacks,NGRAM_OCCUR_L2_Ad Landing Page,-0.049667981,0.031088083,6,FALSE
7.88981E+14,NGRAM_OCCUR_L2_Ad Landing Page,-0.153087699,0.150259067,29,FALSE
2nd 692068924291672,NGRAM_OCCUR_L2_Ad Landing Page,0.134885349,0.020725389,4,FALSE
secured borders,NGRAM_OCCUR_L2_Ad Landing Page,-0.073139386,0.098445596,19,FALSE
1.57967E+15,NGRAM_OCCUR_L2_Ad Landing Page,-0.085422925,0.575129534,111,FALSE
https musicfb,NGRAM_OCCUR_L2_Ad Landing Page,-0.136567897,0.113989637,22,FALSE
nan,NGRAM_OCCUR_L2_Ad Landing Page,-0.182178146,0.051813472,10,FALSE
comnviiiiamsandkaivin,NGRAM_OCCUR_L2_Ad Landing Page,-0.054635133,0.062176166,12,FALSE
128371547505950 rt,NGRAM_OCCUR_L2_Ad Landing Page,-0.042474716,0.015544041,3,FALSE
mvmnt,NGRAM_OCCUR_L2_Ad Landing Page,-0.072980561,0.523316062,101,FALSE
com blackmattersus,NGRAM_OCCUR_L2_Ad Landing Page,0.238587554,0.637305699,123,FALSE
505950,NGRAM_OCCUR_L2_Ad Landing Page,0.371782225,0.088082902,17,FALSE
2017 01,NGRAM_OCCUR_L2_Ad Landing Page,-0.032654115,0.025906736,5,FALSE
shop,NGRAM_OCCUR_L2_Ad Landing Page,-0.055129325,0.020725389,4,FALSE
memopolis,NGRAM_OCCUR_L2_Ad Landing Page,-0.077107346,0.409326425,79,FALSE
com dont,NGRAM_OCCUR_L2_Ad Landing Page,0.093686639,0.212435233,41,FALSE
liberal,NGRAM_OCCUR_L2_Ad Landing Page,-0.045831308,0.041450777,8,FALSE
