Brand Mention?,userpost,match type,brand
1,RT @Dodge: Show us your stripes. (Photo credit: Nichole W.) #ThatsMyDodge https://t.co/1fDyrT47Kp,vague,dodge
1,I took out the E-Rep! Are you up to the challenge? #Defiance http://t.co/9NLFUUnJTB @DefianceWorld @Dodge,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/LITjWyJSDU,vague,dodge
0,Clouds... What I wouldn't give for Instagram to allow me to burn a and dodge though. I miss theƒ http://t.co/5m2RTtW6YB,vague,dodge
1,RT @Dodge: Best lights on the block. https://t.co/LpgsKeBxWn,vague,dodge
1,Say hello to my mommy mobile! I love it! 2010 Dodge Grand Caravan SE.,vague,dodge
1,I added a video to a @YouTube playlist http://t.co/jeLtqJrPQd RED DODGE AND BLACK CJ JEEP PLAY IN THE MUD AT STEWARTS MUD BOG NEAR,vague,dodge
0,Hates when your riding in the front seat of a car and you see a leaf fly toward the windshield and you try to dodge it . ~!~,vague,dodge
1,I am the proud new owner of a 2014 Dodge Avenger!!!! I looked and looked but honestly- I just wanted my Avenger back... This just happens to be way newer  less miles  my favorite color and more upgrades ____ Maybe my old one getting totaled was meant to be. Happy early Birthday to me!! It was literally a year ago this week I bought my last one.,vague,dodge
1,2013 Dodge Dart Giveaway http://t.co/K3Nay9pc via @WomanFreebiesUS,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/cuMBNykjwR,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/Ta450VXp1n,vague,dodge
1,PERKINS MUD BOG - WHITE DODGE DAKOTA PLAYS IN THE MUD: https://t.co/823OJgh7Qd via @YouTube,vague,dodge
1,So we have a 97 dodge dakota pick up for sale. needs valve job. its a five speed 4 cylinder with five matching aluminum rims. have steel tool box for sale too. asking $600 for truck $200 for toolbox or best offer on both. inbox for more info please.,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/wLB96E1PkI,vague,dodge
1,sponsored http://t.co/FPsavHkzey DODGE DAKOTA - 2002 Car Model VIN Directory,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/yPCO05fZis,vague,dodge
1,[WATCH] Warm-Up Lap: Tesla P85D DESTROYS Dodge Challenger Hellcat  Setting 1/4 Mile World Record http://t.co/YABhD1wzAl,vague,dodge
1,I'm earning #mPLUSRewards in Dodge Dot. https://t.co/08Sux8bM5R,vague,dodge
1,RT @Dodge: Grip the wheel and experience the extreme thrill ride of up to 485 horsepower in #DodgeChallenger https://t.co/2cdPlv2ZkT,vague,dodge
1,I liked a @YouTube video http://t.co/RuxdomKeNM Upgrade Your RAM for Free,vague,ram
1,Check it out: This is your chance at a new RAM 1500 or hundreds of instant prizes from @BoschToolsNA &amp; @RamTrucks.  http://t.co/dBflfRmffc,vague,ram
0,RT @9to5mac: GeekBench benchmarks confirm iPhone 7 Plus ships with 3GB of RAM https://t.co/YChIg1BhIO https://t.co/XCLk3qn30B,vague,ram
0,ram,vague,ram
0,I'm giving away: Hynix 1 GB Laptop DDR2 RAM. Check it out - http://t.co/61sfycpCAh #listia,vague,ram
0,"Ram Jam ""Black Betty"" https://t.co/hm5UH8oPR3 via @YouTube",vague,ram
